agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,8/2/2015,62.9,A
USGS,1589000,8/3/2015,62.2,A
USGS,1589000,8/4/2015,70.4,A
USGS,1589000,8/5/2015,61.2,A
USGS,1589000,8/6/2015,57.6,A
USGS,1589000,8/7/2015,58.7,A
USGS,1589000,8/8/2015,57.5,A
USGS,1589000,8/9/2015,56.1,A
USGS,1589000,8/10/2015,56.5,A
USGS,1589000,8/11/2015,68.9,A
USGS,1589000,8/12/2015,67.7,A
USGS,1589000,8/13/2015,55.1,A
USGS,1589000,8/14/2015,53,A
USGS,1589000,8/15/2015,51.2,A
USGS,1589000,8/16/2015,49.2,A
USGS,1589000,8/17/2015,48.5,A
USGS,1589000,8/18/2015,46.2,A
USGS,1589000,8/19/2015,49.3,A
USGS,1589000,8/20/2015,93.4,A
USGS,1589000,8/21/2015,74.9,A
USGS,1589000,8/22/2015,51.3,A
USGS,1589000,8/23/2015,46.8,A
USGS,1589000,8/24/2015,69.4,A
USGS,1589000,8/25/2015,72.1,A
USGS,1589000,8/26/2015,47.4,A
USGS,1589000,8/27/2015,44.1,A
USGS,1589000,8/28/2015,43.1,A
USGS,1589000,8/29/2015,42,A
USGS,1589000,8/30/2015,41.6,A
USGS,1589000,8/31/2015,41.6,A
USGS,1589000,9/1/2015,40.7,A
USGS,1589000,9/2/2015,40.6,A
USGS,1589000,9/3/2015,41.8,A
USGS,1589000,9/4/2015,40.9,A
USGS,1589000,9/5/2015,39.2,A
USGS,1589000,9/6/2015,37.7,A
USGS,1589000,9/7/2015,36.3,A
USGS,1589000,9/8/2015,36.4,A
USGS,1589000,9/9/2015,36.6,A
USGS,1589000,9/10/2015,71,A
USGS,1589000,9/11/2015,50.4,A
USGS,1589000,9/12/2015,85.5,A
USGS,1589000,9/13/2015,86.5,A
USGS,1589000,9/14/2015,47.9,A
USGS,1589000,9/15/2015,42.1,A
USGS,1589000,9/16/2015,40.4,A
USGS,1589000,9/17/2015,39.3,A
USGS,1589000,9/18/2015,38.4,A
USGS,1589000,9/19/2015,38,A
USGS,1589000,9/20/2015,37.6,A
USGS,1589000,9/21/2015,36.8,A
USGS,1589000,9/22/2015,39.9,A
USGS,1589000,9/23/2015,41.4,A
USGS,1589000,9/24/2015,35.4,A
USGS,1589000,9/25/2015,34.2,A
USGS,1589000,9/26/2015,34.2,A
USGS,1589000,9/27/2015,33.8,A
USGS,1589000,9/28/2015,34.5,A
USGS,1589000,9/29/2015,88.9,A
USGS,1589000,9/30/2015,930,A
USGS,1589000,10/1/2015,137,A
USGS,1589000,10/2/2015,190,A
USGS,1589000,10/3/2015,338,A
USGS,1589000,10/4/2015,179,A
USGS,1589000,10/5/2015,138,A
USGS,1589000,10/6/2015,109,A
USGS,1589000,10/7/2015,88.1,A
USGS,1589000,10/8/2015,73.2,A
USGS,1589000,10/9/2015,72.7,A
USGS,1589000,10/10/2015,110,A
USGS,1589000,10/11/2015,76.8,A
USGS,1589000,10/12/2015,66.1,A
USGS,1589000,10/13/2015,61.1,A
USGS,1589000,10/14/2015,57.1,A
USGS,1589000,10/15/2015,54,A
USGS,1589000,10/16/2015,51.9,A
USGS,1589000,10/17/2015,52.4,A
USGS,1589000,10/18/2015,50.3,A
USGS,1589000,10/19/2015,50.4,A
USGS,1589000,10/20/2015,51.7,A
USGS,1589000,10/21/2015,52.2,A
USGS,1589000,10/22/2015,52.1,A
USGS,1589000,10/23/2015,52.1,A
USGS,1589000,10/24/2015,51.2,A
USGS,1589000,10/25/2015,52.3,A
USGS,1589000,10/26/2015,52.6,A
USGS,1589000,10/27/2015,52.5,A
USGS,1589000,10/28/2015,92.4,A
USGS,1589000,10/29/2015,874,A
USGS,1589000,10/30/2015,389,A
USGS,1589000,10/31/2015,240,A
USGS,1589000,11/1/2015,163,A
USGS,1589000,11/2/2015,116,A
USGS,1589000,11/3/2015,80.8,A
USGS,1589000,11/4/2015,69.4,A
USGS,1589000,11/5/2015,71,A
